sample output of normal1.py:
-1.46232112e-01  1.61559007e-02  1.13851047e-01  1.23467209e-02
 -1.08216279e-01 -1.50006167e-02 -1.84070664e-01  6.32893092e-02
 -7.05409461e-03 -1.50674317e-02  1.27120259e-01  1.42537353e-01
  1.33871925e-01 -1.21804218e-01  3.19845273e-02  8.07886059e-02
  6.28885787e-02  1.73738587e-01 -1.93919848e-01  9.61110254e-02
 -3.69863435e-02  5.39865414e-03  4.85207879e-02 -3.03217039e-02
  1.18488948e-01  4.06571340e-03  1.40963625e-01  3.85140848e-02
  9.19270629e-03 -5.28503798e-02 -3.67746176e-02 -1.14762940e-01
  3.21133782e-03  1.47836804e-01 -4.14708493e-02  8.72472763e-02
  2.55195957e-02  9.76875769e-02  8.71779667e-02 -1.47691543e-01
 -1.64156144e-01 -2.17890613e-02  2.04330863e-02  2.55264317e-02
  1.92093305e-01 -1.39093920e-01  4.87397033e-02 -6.67697121e-02
 -1.48771183e-01 -1.78434357e-01  8.30217456e-02  5.64622145e-02
  9.08578007e-02 -1.75374225e-01  2.50311014e-02  2.61070053e-02
  7.36437893e-02 -9.86229686e-02  6.60187065e-02 -5.87844691e-02
 -9.60854277e-02  7.89434368e-02  1.06540275e-01  9.89912464e-03
 -3.28510207e-02 -1.37875917e-01  7.11333985e-02 -1.05673596e-01
  7.58437114e-02 -9.45908238e-02 -2.57722327e-03 -1.66277283e-01
  1.42512824e-01  1.24552877e-02 -7.76129239e-02 -9.23130752e-02
 -1.89260031e-01 -2.18126271e-02  1.52462369e-01 -4.01779509e-02
 -9.07523322e-02 -5.44779450e-02 -7.02921669e-02  7.24111192e-02
  2.51886512e-01  7.75724092e-02 -5.99879446e-02  5.82110520e-02
 -2.79095395e-03 -9.77453557e-02  1.57088387e-01  1.46627906e-01
 -5.96246285e-02 -7.55030760e-02  1.38918213e-02 -7.46055681e-03
  2.99890012e-02 -7.61765364e-02  7.49347225e-02  7.88210983e-02
  2.04231406e-02  4.15125636e-02 -1.37445672e-02  1.49893708e-01
 -4.69194650e-02 -1.08437245e-01  2.44391579e-01 -2.63964830e-02
  8.72508700e-02  4.07374741e-02 -2.55683769e-02  7.82687069e-02
  5.68595965e-02 -2.27164906e-01 -3.60270472e-02 -1.26247616e-01
 -1.53414035e-02 -1.41194396e-01  3.17245297e-02 -2.12138112e-02
  1.34131204e-01  6.26083912e-02  1.21257758e-01 -4.91093304e-02
  2.95723704e-02 -5.80115429e-02 -8.25649444e-02 -8.36410262e-02
  7.68420002e-03  2.26230006e-02  7.73971706e-02 -5.67025591e-02
 -6.63947350e-02  1.03132829e-01 -2.65830411e-02  1.05419489e-01
 -1.37310963e-01  6.54623116e-02  1.19859620e-01 -1.24137306e-01
  1.03660883e-01  6.32297790e-02  1.50588946e-01  7.31114360e-02
 -1.18617230e-01  1.19785025e-01 -1.88319836e-02 -4.60842414e-03
  7.59173545e-02 -8.86013634e-03  3.43731602e-02  5.18327852e-02
  4.46280327e-02  7.81839316e-02 -2.25829839e-01  1.02323940e-01
 -6.08434428e-02 -9.66701482e-02  2.97988084e-02 -1.07052947e-02
  2.07711930e-02  2.65331607e-02 -2.25154937e-01 -1.67637458e-01
  3.84736486e-03  5.25022411e-02 -7.69531339e-02 -1.38657205e-01
 -1.66322235e-01 -1.73973950e-01 -8.17272133e-02 -4.27242014e-02
 -6.20018463e-02  1.57595593e-01  1.56957996e-02  6.96159594e-02
  1.67460209e-01 -6.96166441e-02  9.22624555e-02  1.53644244e-01
  5.64182744e-03  2.99742074e-02  1.32186456e-01  6.19969152e-02
 -5.32864485e-03  7.98754868e-02 -6.33159005e-02  7.53141859e-02
 -2.01539288e-01  1.49832909e-02  1.00676700e-01  4.16762022e-02
 -4.35474503e-02  1.92877543e-01 -3.53717630e-02 -1.11968914e-01
  1.01400895e-02 -1.35318528e-02  1.25399848e-01 -6.11691357e-02
  1.03282785e-01  2.31952697e-02 -5.65682151e-02  5.05833232e-03
 -1.53673334e-02 -2.34109200e-02 -9.09526712e-02  1.58146431e-02
  2.77940215e-01 -1.21821203e-02  3.36062690e-02  1.01661312e-01
  1.36702479e-03 -3.90086856e-02  1.56440758e-01 -1.24039705e-01
  2.05473158e-02 -8.33689218e-02 -2.59965404e-02 -2.99212036e-02
 -2.47434393e-02  2.41747575e-01  1.87640375e-03  1.09405226e-02
  1.05407787e-01 -7.70536100e-02  1.65589748e-02  7.60427854e-02
  4.93949698e-02 -2.68295455e-01  1.18876864e-01 -5.77340841e-02
 -9.87631598e-02 -5.24190269e-02 -2.89556123e-02  1.55467886e-01
  5.26588743e-02  3.98672686e-02  5.30235506e-02  1.61299516e-02
 -4.16859079e-02  4.71194374e-02  9.24541329e-02  1.05276854e-01
  5.39282506e-02  5.40750497e-02 -1.66300762e-01 -8.54378523e-02
  1.74099344e-01 -5.76333969e-02  4.43290992e-02 -3.39244880e-02
 -1.58675544e-01 -1.04586449e-01  6.80971224e-02  6.11825297e-03
  1.45877773e-01 -5.14774999e-02  3.44304288e-02  7.87801954e-02
  5.87743611e-02 -1.18129967e-01 -2.00389562e-02 -2.23731695e-02
  1.38807365e-01  1.71034784e-01 -2.42960453e-01 -2.03215501e-01
 -1.07389381e-01 -1.27486065e-01  7.63513377e-02 -1.29308794e-01
  4.45566480e-02  5.00669837e-02  1.16649467e-01  1.43326838e-01
 -8.48753268e-03 -3.05199385e-02  4.54479934e-02  1.80887648e-01
 -5.55148153e-02  1.26394048e-01  1.91049952e-01  1.45266162e-01
  1.16872767e-01 -1.09284332e-02 -1.63920276e-02 -4.06636475e-03
 -1.57870643e-01 -1.60027526e-02  3.56083000e-02 -9.68627427e-02
 -9.47797253e-02  6.64770836e-02 -1.38829140e-01 -1.47838886e-02
 -7.91247644e-02 -2.06311836e-01 -6.88500711e-02  6.55338049e-02
 -7.16247378e-02  9.56864956e-02 -8.40344761e-02 -1.20218630e-01
  9.53352800e-02 -2.96262132e-02 -2.82517505e-02 -1.40133729e-01
  1.81074588e-01 -5.02284185e-06 -4.29426517e-02 -1.35705614e-01
 -1.26319048e-01  1.25504860e-01 -6.79265871e-02 -2.61924177e-04
 -6.75106456e-03  1.06966112e-01 -1.52964333e-03  1.10477452e-02
 -1.30797539e-01 -1.34907259e-01 -9.28327329e-02  1.78941566e-01
  7.20556667e-02  4.00641446e-02  1.34565726e-01  3.77734138e-02
 -4.35752925e-02 -8.76355273e-02  9.08965381e-02  1.88490897e-02
 -1.30719878e-01  2.56313576e-01  4.75806831e-03  4.26545763e-02
 -6.96996601e-03  6.12332937e-02 -1.28695235e-01 -1.78464088e-02
  9.96265081e-02  2.78915535e-02  2.81450256e-02 -3.33576929e-02
  5.31763732e-02 -9.67226601e-02  3.71985361e-02  2.18745324e-02
  5.87533091e-02  8.09777538e-02  7.69499218e-02 -1.12621023e-02
  2.58524880e-01  1.15554968e-01  2.56157892e-02  1.02013264e-01
 -7.92956232e-02 -1.96290724e-01  2.07939170e-01  1.10315115e-01
  8.21600539e-02  5.47451708e-02  1.13783832e-01  5.63280304e-03
 -1.92268696e-01  1.37907595e-01  7.80389317e-02  1.77131314e-01
  9.47973956e-02  7.78528421e-02 -2.23244609e-01 -3.15897132e-02
  3.45897695e-03  1.29900584e-01 -2.80629212e-02  2.02758405e-02
  2.33180464e-02 -7.02218003e-02  6.76971812e-02  8.45867541e-02
  6.96355062e-02 -7.01068481e-02 -3.52926077e-02 -1.22835678e-01
  2.77858324e-02 -1.35483532e-01  4.50366024e-02  1.33358626e-01
 -2.54546873e-02  4.09819213e-02 -8.07777197e-02 -1.09243568e-01
  3.36628335e-02  1.67257916e-01 -1.44088690e-01  8.65305856e-02
 -1.69996232e-01 -9.73772931e-04 -3.19028574e-02 -4.01027877e-02
 -5.17487125e-02  1.69964828e-01 -8.34005712e-02 -1.16546774e-03
  3.65414028e-03 -7.67573753e-02 -1.83583325e-01 -1.17911089e-01
  9.34478416e-02  5.35950661e-02  3.69899607e-02  3.25715644e-02
  3.78006627e-02  1.36271831e-01  7.49911362e-02 -3.84822863e-02
 -7.88494222e-02 -2.91812123e-01 -2.63302800e-02 -1.01304930e-01
 -1.95196534e-01  7.96893152e-02 -5.24750043e-03  1.33826026e-01
 -1.30387189e-01  6.37375359e-02 -3.97436351e-02  5.50993356e-02
  1.24763092e-02  4.43341470e-02 -1.83359924e-03  3.00613266e-02
 -1.46587160e-01 -9.27829646e-02 -2.28835847e-02  1.95653974e-02
  3.12392490e-02  3.15516653e-02 -8.59898151e-02  2.74715382e-03
  1.59766467e-02 -1.53297881e-02 -1.74089858e-01  1.37347117e-01
  3.19577034e-03  9.99123513e-02 -5.19784344e-02 -5.92991907e-02
 -1.04783692e-01  6.16597320e-02  4.07954401e-02 -7.68460647e-02
 -7.81976285e-02 -4.76201871e-02 -2.19369321e-01 -4.63390455e-02
 -9.45053007e-02 -6.40715216e-02 -4.17463635e-02 -9.64896384e-02
  7.38765947e-02  6.72190540e-03 -1.09946005e-01 -4.12593154e-03
  6.45077808e-02  2.64594713e-02 -5.24930775e-02 -3.32330895e-02
 -2.23929583e-02 -1.40787102e-01 -6.46795384e-02  4.61908311e-02
