sample output of normal2.py
1.14815901e-01 -2.71186793e-02  8.34409586e-03  1.43799218e-01
  1.47865429e-01  1.96428517e-01  8.07322469e-02 -6.26640297e-02
  2.52833971e-01  9.35057576e-02  6.92592170e-02 -2.09713985e-02
  2.16470969e-02 -8.77575450e-02  1.77025056e-01  1.57191094e-01
  6.50898309e-02  1.40099642e-02  8.22959973e-02  5.86990766e-02
  2.44059654e-01  8.12778606e-02  1.34958346e-01  1.14722931e-01
 -5.42930738e-02  1.59311753e-01  1.91253964e-01  2.63659538e-01
  2.69457950e-01  2.55228734e-01  1.37932649e-01 -1.43895914e-02
 -3.07299671e-02  1.61522480e-01  7.61225544e-02  5.80422683e-02
  3.20763435e-02  2.46919640e-01 -1.08720272e-01  2.18627865e-01
  2.24805511e-02  8.58722038e-02  4.73669084e-02  1.29494545e-01
 -1.12547977e-03  1.03873708e-01  1.96486523e-01  2.40704377e-01
  1.27461923e-01 -3.42889119e-02  1.12801703e-01  1.45742712e-01
  2.49424335e-01 -3.15059622e-02  1.86719302e-01  5.60384215e-02
  8.11465248e-02  4.27016470e-02 -1.63274737e-01  1.07407014e-01
  1.68278176e-01  1.04118958e-01  4.15472432e-02  3.18345907e-02
  2.66039942e-02  9.27877830e-02  1.50472090e-01  2.17169244e-02
  6.57169587e-02  2.02120510e-01 -7.65051615e-02  7.57038766e-02
  2.35494782e-01 -4.37988123e-02  9.52402467e-02 -3.09987180e-02
  9.77695162e-02  2.58204953e-01  4.39702767e-01  1.59140284e-01
  4.02689220e-02 -7.43018210e-03  1.80419413e-01  3.76764831e-02
  5.07815836e-02  6.08413820e-02  2.99746312e-01  3.36417093e-02
  1.36790505e-01  2.46754108e-01  1.61764554e-01  1.82305062e-01
  2.28521498e-01  1.06095267e-02  1.90126291e-01 -8.15741098e-02
  7.49083903e-02  9.34896828e-03  1.15181994e-01  9.74408546e-02
 -3.55536752e-02  2.44878443e-02  1.10334350e-01 -1.71923953e-02
  1.30414969e-01  1.06947158e-01  4.65572970e-02  2.38857650e-01
  2.32350352e-01  1.56226049e-01 -1.51209300e-02 -9.94848733e-03
  1.10360628e-01  2.16764226e-01  6.16456771e-02  9.25391974e-02
  1.94374357e-01  2.70737569e-01 -3.10384577e-02  1.96584885e-01
  1.50386188e-01  1.83771394e-02  6.09283749e-02  1.18537510e-01
  7.47566855e-02 -1.82667594e-02  2.25226248e-02  2.76248385e-01
  2.67107975e-01 -4.19585019e-02  5.44012811e-02  3.19872257e-02
  1.37971682e-01  1.38119528e-02  2.56730844e-01 -4.51616048e-02
  3.00894053e-01  1.62207912e-01 -1.60397505e-01  9.21620662e-02
 -8.36900658e-03 -5.52840901e-03 -9.27810834e-02  2.17968209e-02
  1.83747639e-01 -2.46651566e-02  6.50316825e-02  1.14824830e-01
